Location,Scene,Offence,Year or Month,Measure,Value,Flags
"Counties/Manukau District","Total Scene","Total Offences","2014","Resolved",17199,
"Counties/Manukau District","Total Scene","Homicide and related offences","2013","Resolved",7,
"Counties/Manukau District","Total Scene","Homicide and related offences","2014","Resolved",8,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","2013","Resolved",5103,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","2014","Resolved",4548,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","2013","Resolved",222,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","2014","Resolved",213,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","2013","Resolved",98,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","2014","Resolved",104,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","2013","Resolved",1158,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","2014","Resolved",1069,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","2013","Resolved",161,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","2014","Resolved",163,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Resolved",832,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Resolved",656,
"Counties/Manukau District","Total Scene","Theft and related offences","2013","Resolved",2777,
"Counties/Manukau District","Total Scene","Theft and related offences","2014","Resolved",2632,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","2013","Resolved",426,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","2014","Resolved",364,
"Counties/Manukau District","Total Scene","Illicit drug offences","2013","Resolved",1940,
"Counties/Manukau District","Total Scene","Illicit drug offences","2014","Resolved",1751,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Resolved",689,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Resolved",690,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","2013","Resolved",1496,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","2014","Resolved",1381,
"Counties/Manukau District","Total Scene","Public order offences","2013","Resolved",3143,
"Counties/Manukau District","Total Scene","Public order offences","2014","Resolved",1995,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","2013","Resolved",1805,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","2014","Resolved",1547,
"Counties/Manukau District","Total Scene","Miscellaneous offences","2013","Resolved",82,
"Counties/Manukau District","Total Scene","Miscellaneous offences","2014","Resolved",78,
"Waikato District","Total Scene","Total Offences","2013","Recorded",32218,
"Waikato District","Total Scene","Total Offences","2014","Recorded",29642,
"Waikato District","Total Scene","Homicide and related offences","2013","Recorded",8,
"Waikato District","Total Scene","Homicide and related offences","2014","Recorded",5,
"Waikato District","Total Scene","Acts intended to cause injury","2013","Recorded",3390,
"Waikato District","Total Scene","Acts intended to cause injury","2014","Recorded",3894,
"Waikato District","Total Scene","Sexual assault and related offences","2013","Recorded",361,
"Waikato District","Total Scene","Sexual assault and related offences","2014","Recorded",352,
"Waikato District","Total Scene","Dangerous or negligent acts endangering persons","2013","Recorded",46,
"Waikato District","Total Scene","Dangerous or negligent acts endangering persons","2014","Recorded",57,
"Waikato District","Total Scene","Abduction, harassment and other related offences against a person","2013","Recorded",1050,
"Waikato District","Total Scene","Abduction, harassment and other related offences against a person","2014","Recorded",1273,
"Waikato District","Total Scene","Robbery, extortion and related offences","2013","Recorded",165,
"Waikato District","Total Scene","Robbery, extortion and related offences","2014","Recorded",169,
"Waikato District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Recorded",6046,
"Waikato District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Recorded",5639,
"Waikato District","Total Scene","Theft and related offences","2013","Recorded",9993,
"Waikato District","Total Scene","Theft and related offences","2014","Recorded",8753,
"Waikato District","Total Scene","Fraud, deception and related offences","2013","Recorded",596,
"Waikato District","Total Scene","Fraud, deception and related offences","2014","Recorded",858,
"Waikato District","Total Scene","Illicit drug offences","2013","Recorded",1288,
"Waikato District","Total Scene","Illicit drug offences","2014","Recorded",1437,
"Waikato District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Recorded",444,
"Waikato District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Recorded",498,
"Waikato District","Total Scene","Property damage and environmental pollution","2013","Recorded",3847,
"Waikato District","Total Scene","Property damage and environmental pollution","2014","Recorded",3065,
"Waikato District","Total Scene","Public order offences","2013","Recorded",3671,
"Waikato District","Total Scene","Public order offences","2014","Recorded",2167,
"Waikato District","Total Scene","Offences against justice procedures, government security and government operations","2013","Recorded",1236,
"Waikato District","Total Scene","Offences against justice procedures, government security and government operations","2014","Recorded",1391,
"Waikato District","Total Scene","Miscellaneous offences","2013","Recorded",77,
"Waikato District","Total Scene","Miscellaneous offences","2014","Recorded",84,
"Waikato District","Total Scene","Total Offences","2013","Resolved",13732,
"Waikato District","Total Scene","Total Offences","2014","Resolved",12217,
"Waikato District","Total Scene","Homicide and related offences","2013","Resolved",8,
"Waikato District","Total Scene","Homicide and related offences","2014","Resolved",4,
"Waikato District","Total Scene","Acts intended to cause injury","2013","Resolved",2295,
"Waikato District","Total Scene","Acts intended to cause injury","2014","Resolved",2682,
"Waikato District","Total Scene","Sexual assault and related offences","2013","Resolved",158,
"Waikato District","Total Scene","Sexual assault and related offences","2014","Resolved",152,
"Waikato District","Total Scene","Dangerous or negligent acts endangering persons","2013","Resolved",20,
"Waikato District","Total Scene","Dangerous or negligent acts endangering persons","2014","Resolved",32,
"Waikato District","Total Scene","Abduction, harassment and other related offences against a person","2013","Resolved",576,
"Waikato District","Total Scene","Abduction, harassment and other related offences against a person","2014","Resolved",693,
"Waikato District","Total Scene","Robbery, extortion and related offences","2013","Resolved",71,
"Waikato District","Total Scene","Robbery, extortion and related offences","2014","Resolved",70,
"Waikato District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Resolved",680,
"Waikato District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Resolved",630,
"Waikato District","Total Scene","Theft and related offences","2013","Resolved",2348,
"Waikato District","Total Scene","Theft and related offences","2014","Resolved",1929,
"Waikato District","Total Scene","Fraud, deception and related offences","2013","Resolved",279,
"Waikato District","Total Scene","Fraud, deception and related offences","2014","Resolved",420,
"Waikato District","Total Scene","Illicit drug offences","2013","Resolved",1180,
"Waikato District","Total Scene","Illicit drug offences","2014","Resolved",1305,
"Waikato District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Resolved",393,
"Waikato District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Resolved",445,
"Waikato District","Total Scene","Property damage and environmental pollution","2013","Resolved",1388,
"Waikato District","Total Scene","Property damage and environmental pollution","2014","Resolved",872,
"Waikato District","Total Scene","Public order offences","2013","Resolved",3252,
"Waikato District","Total Scene","Public order offences","2014","Resolved",1776,
"Waikato District","Total Scene","Offences against justice procedures, government security and government operations","2013","Resolved",1046,
"Waikato District","Total Scene","Offences against justice procedures, government security and government operations","2014","Resolved",1175,
"Waikato District","Total Scene","Miscellaneous offences","2013","Resolved",38,
"Waikato District","Total Scene","Miscellaneous offences","2014","Resolved",32,
"Bay Of Plenty District","Total Scene","Total Offences","2013","Recorded",31433,
"Bay Of Plenty District","Total Scene","Homicide and related offences","2013","Recorded",6,
"Bay Of Plenty District","Total Scene","Homicide and related offences","2014","Recorded",4,
"Bay Of Plenty District","Total Scene","Acts intended to cause injury","2013","Recorded",3517,
"Bay Of Plenty District","Total Scene","Acts intended to cause injury","2014","Recorded",3641,
"Bay Of Plenty District","Total Scene","Sexual assault and related offences","2013","Recorded",244,
"Bay Of Plenty District","Total Scene","Sexual assault and related offences","2014","Recorded",354,
"Bay Of Plenty District","Total Scene","Dangerous or negligent acts endangering persons","2013","Recorded",62,
"Bay Of Plenty District","Total Scene","Dangerous or negligent acts endangering persons","2014","Recorded",55,
"Bay Of Plenty District","Total Scene","Abduction, harassment and other related offences against a person","2013","Recorded",1058,
"Bay Of Plenty District","Total Scene","Abduction, harassment and other related offences against a person","2014","Recorded",1163,
"Bay Of Plenty District","Total Scene","Robbery, extortion and related offences","2013","Recorded",156,
"Bay Of Plenty District","Total Scene","Robbery, extortion and related offences","2014","Recorded",127,
"Bay Of Plenty District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Recorded",4602,
"Bay Of Plenty District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Recorded",4238,
"Bay Of Plenty District","Total Scene","Theft and related offences","2013","Recorded",10039,
"Bay Of Plenty District","Total Scene","Theft and related offences","2014","Recorded",9666,
"Bay Of Plenty District","Total Scene","Fraud, deception and related offences","2013","Recorded",530,
"Bay Of Plenty District","Total Scene","Fraud, deception and related offences","2014","Recorded",746,
"Bay Of Plenty District","Total Scene","Illicit drug offences","2013","Recorded",1799,
"Bay Of Plenty District","Total Scene","Illicit drug offences","2014","Recorded",1692,
"Bay Of Plenty District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Recorded",574,
"Bay Of Plenty District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Recorded",630,
"Bay Of Plenty District","Total Scene","Property damage and environmental pollution","2013","Recorded",4088,
"Bay Of Plenty District","Total Scene","Property damage and environmental pollution","2014","Recorded",3423,
"Bay Of Plenty District","Total Scene","Public order offences","2013","Recorded",3342,
