Location,Scene,Offence,Year or Month,Measure,Value,Flags
"Southern District","Total Scene","Dangerous or negligent acts endangering persons","2013","Resolved",30,
"Southern District","Total Scene","Dangerous or negligent acts endangering persons","2014","Resolved",22,
"Southern District","Total Scene","Abduction, harassment and other related offences against a person","2013","Resolved",647,
"Southern District","Total Scene","Abduction, harassment and other related offences against a person","2014","Resolved",780,
"Southern District","Total Scene","Robbery, extortion and related offences","2013","Resolved",31,
"Southern District","Total Scene","Robbery, extortion and related offences","2014","Resolved",25,
"Southern District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Resolved",416,
"Southern District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Resolved",380,
"Southern District","Total Scene","Theft and related offences","2013","Resolved",1761,
"Southern District","Total Scene","Theft and related offences","2014","Resolved",1415,
"Southern District","Total Scene","Fraud, deception and related offences","2013","Resolved",431,
"Southern District","Total Scene","Fraud, deception and related offences","2014","Resolved",353,
"Southern District","Total Scene","Illicit drug offences","2013","Resolved",855,
"Southern District","Total Scene","Illicit drug offences","2014","Resolved",731,
"Southern District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Resolved",310,
"Southern District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Resolved",317,
"Southern District","Total Scene","Property damage and environmental pollution","2013","Resolved",956,
"Southern District","Total Scene","Property damage and environmental pollution","2014","Resolved",908,
"Southern District","Total Scene","Public order offences","2013","Resolved",2130,
"Southern District","Total Scene","Public order offences","2014","Resolved",1792,
"Southern District","Total Scene","Offences against justice procedures, government security and government operations","2013","Resolved",725,
"Southern District","Total Scene","Offences against justice procedures, government security and government operations","2014","Resolved",725,
"Southern District","Total Scene","Miscellaneous offences","2013","Resolved",82,
"Southern District","Total Scene","Miscellaneous offences","2014","Resolved",82,
"Total New Zealand","Total Scene","Total Offences","2013","Recorded",360411,
"Total New Zealand","Total Scene","Total Offences","2014","Recorded",350389,
"Total New Zealand","Total Scene","Homicide and related offences","2013","Recorded",83,
"Total New Zealand","Total Scene","Homicide and related offences","2014","Recorded",66,
"Total New Zealand","Total Scene","Acts intended to cause injury","2013","Recorded",39447,
"Total New Zealand","Total Scene","Acts intended to cause injury","2014","Recorded",39944,
"Total New Zealand","Total Scene","Sexual assault and related offences","2013","Recorded",3919,
"Total New Zealand","Total Scene","Sexual assault and related offences","2014","Recorded",4056,
"Total New Zealand","Total Scene","Dangerous or negligent acts endangering persons","2013","Recorded",787,
"Total New Zealand","Total Scene","Dangerous or negligent acts endangering persons","2014","Recorded",737,
"Total New Zealand","Total Scene","Abduction, harassment and other related offences against a person","2013","Recorded",13763,
"Total New Zealand","Total Scene","Abduction, harassment and other related offences against a person","2014","Recorded",15024,
"Total New Zealand","Total Scene","Robbery, extortion and related offences","2013","Recorded",2178,
"Total New Zealand","Total Scene","Robbery, extortion and related offences","2014","Recorded",2140,
"Total New Zealand","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Recorded",52247,
"Total New Zealand","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Recorded",53265,
"Total New Zealand","Total Scene","Theft and related offences","2013","Recorded",121035,
"Total New Zealand","Total Scene","Theft and related offences","2014","Recorded",119323,
"Total New Zealand","Total Scene","Fraud, deception and related offences","2013","Recorded",7997,
"Total New Zealand","Total Scene","Fraud, deception and related offences","2014","Recorded",9037,
"Total New Zealand","Total Scene","Illicit drug offences","2013","Recorded",16069,
"Total New Zealand","Total Scene","Illicit drug offences","2014","Recorded",16543,
"Total New Zealand","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Recorded",5675,
"Total New Zealand","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Recorded",5791,
"Total New Zealand","Total Scene","Property damage and environmental pollution","2013","Recorded",45577,
"Total New Zealand","Total Scene","Property damage and environmental pollution","2014","Recorded",40358,
"Total New Zealand","Total Scene","Public order offences","2013","Recorded",35850,
"Total New Zealand","Total Scene","Public order offences","2014","Recorded",26751,
"Total New Zealand","Total Scene","Offences against justice procedures, government security and government operations","2013","Recorded",14425,
"Total New Zealand","Total Scene","Offences against justice procedures, government security and government operations","2014","Recorded",16085,
"Total New Zealand","Total Scene","Miscellaneous offences","2013","Recorded",1359,
"Total New Zealand","Total Scene","Miscellaneous offences","2014","Recorded",1269,
"Total New Zealand","Total Scene","Total Offences","2013","Resolved",158042,
"Total New Zealand","Total Scene","Total Offences","2014","Resolved",145367,
"Total New Zealand","Total Scene","Homicide and related offences","2013","Resolved",70,
"Total New Zealand","Total Scene","Homicide and related offences","2014","Resolved",58,
"Total New Zealand","Total Scene","Acts intended to cause injury","2013","Resolved",29852,
"Total New Zealand","Total Scene","Acts intended to cause injury","2014","Resolved",28908,
"Total New Zealand","Total Scene","Sexual assault and related offences","2013","Resolved",2030,
"Total New Zealand","Total Scene","Sexual assault and related offences","2014","Resolved",1932,
"Total New Zealand","Total Scene","Dangerous or negligent acts endangering persons","2013","Resolved",456,
"Total New Zealand","Total Scene","Dangerous or negligent acts endangering persons","2014","Resolved",434,
"Total New Zealand","Total Scene","Abduction, harassment and other related offences against a person","2013","Resolved",8092,
"Total New Zealand","Total Scene","Abduction, harassment and other related offences against a person","2014","Resolved",8483,
"Total New Zealand","Total Scene","Robbery, extortion and related offences","2013","Resolved",849,
"Total New Zealand","Total Scene","Robbery, extortion and related offences","2014","Resolved",861,
"Total New Zealand","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Resolved",7235,
"Total New Zealand","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Resolved",6464,
"Total New Zealand","Total Scene","Theft and related offences","2013","Resolved",27610,
"Total New Zealand","Total Scene","Theft and related offences","2014","Resolved",25870,
"Total New Zealand","Total Scene","Fraud, deception and related offences","2013","Resolved",4109,
"Total New Zealand","Total Scene","Fraud, deception and related offences","2014","Resolved",4481,
"Total New Zealand","Total Scene","Illicit drug offences","2013","Resolved",14584,
"Total New Zealand","Total Scene","Illicit drug offences","2014","Resolved",15031,
"Total New Zealand","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Resolved",5092,
"Total New Zealand","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Resolved",5171,
"Total New Zealand","Total Scene","Property damage and environmental pollution","2013","Resolved",13450,
"Total New Zealand","Total Scene","Property damage and environmental pollution","2014","Resolved",11431,
"Total New Zealand","Total Scene","Public order offences","2013","Resolved",30687,
"Total New Zealand","Total Scene","Public order offences","2014","Resolved",21282,
"Total New Zealand","Total Scene","Offences against justice procedures, government security and government operations","2013","Resolved",13133,
"Total New Zealand","Total Scene","Offences against justice procedures, government security and government operations","2014","Resolved",14219,
"Total New Zealand","Total Scene","Miscellaneous offences","2013","Resolved",793,
"Total New Zealand","Total Scene","Miscellaneous offences","2014","Resolved",742,
